 
LI/practica1> ./taula.sh
g++ -o mysat -O3 SAT-pau.cpp
file result timeSpent decisions propagations propagations/s
random3SAT/vars-100-10.cnf pau: UNSATISFIABLE 0.003673 961 19392 5.27961e+06
random3SAT/vars-100-1.cnf pau: SATISFIABLE 0.001679 437 9177 5.46575e+06
random3SAT/vars-100-2.cnf pau: SATISFIABLE 0.000337 100 1762 5.22849e+06
random3SAT/vars-100-3.cnf pau: UNSATISFIABLE 0.005275 1381 28341 5.3727e+06
random3SAT/vars-100-4.cnf pau: UNSATISFIABLE 0.007031 1781 37562 5.34234e+06
random3SAT/vars-100-5.cnf pau: SATISFIABLE 0.000797 191 4101 5.14555e+06
random3SAT/vars-100-6.cnf pau: SATISFIABLE 0.007339 1958 40297 5.4908e+06
random3SAT/vars-100-7.cnf pau: SATISFIABLE 0.001663 461 9150 5.5021e+06
random3SAT/vars-100-8.cnf pau: SATISFIABLE 0.001878 468 9867 5.25399e+06
random3SAT/vars-100-9.cnf pau: UNSATISFIABLE 0.00269 681 13756 5.11375e+06
random3SAT/vars-150-10.cnf pau: UNSATISFIABLE 0.066332 12598 349198 5.2644e+06
random3SAT/vars-150-1.cnf pau: SATISFIABLE 0.035541 6667 189396 5.32894e+06
random3SAT/vars-150-2.cnf pau: SATISFIABLE 0.044158 8325 228645 5.17788e+06
random3SAT/vars-150-3.cnf pau: SATISFIABLE 0.017071 3183 87086 5.1014e+06
random3SAT/vars-150-4.cnf pau: SATISFIABLE 0.055611 10711 290552 5.22472e+06
random3SAT/vars-150-5.cnf pau: UNSATISFIABLE 0.050553 9641 262233 5.18729e+06
random3SAT/vars-150-6.cnf pau: SATISFIABLE 0.011238 2098 57974 5.15875e+06
random3SAT/vars-150-7.cnf pau: UNSATISFIABLE 0.043095 8521 225203 5.22573e+06
random3SAT/vars-150-8.cnf pau: SATISFIABLE 0.001403 276 7048 5.02352e+06
random3SAT/vars-150-9.cnf pau: SATISFIABLE 0.04772 9012 253382 5.30977e+06
random3SAT/vars-200-10.cnf pau: UNSATISFIABLE 0.781026 120423 3989416 5.10792e+06
random3SAT/vars-200-1.cnf pau: UNSATISFIABLE 0.591907 90635 3044539 5.14361e+06
random3SAT/vars-200-2.cnf pau: SATISFIABLE 0.042467 6505 214875 5.05981e+06
random3SAT/vars-200-3.cnf pau: UNSATISFIABLE 0.793154 123426 4070691 5.13228e+06
random3SAT/vars-200-4.cnf pau: UNSATISFIABLE 0.19926 31424 1011179 5.07467e+06
random3SAT/vars-200-5.cnf pau: UNSATISFIABLE 0.487063 75311 2483207 5.09833e+06
random3SAT/vars-200-6.cnf pau: SATISFIABLE 0.319565 49521 1636002 5.11947e+06
random3SAT/vars-200-7.cnf pau: UNSATISFIABLE 1.3733 213204 7193542 5.23815e+06
random3SAT/vars-200-8.cnf pau: SATISFIABLE 0.034691 5447 175994 5.07319e+06
random3SAT/vars-200-9.cnf pau: SATISFIABLE 0.278171 43164 1425174 5.12337e+06
random3SAT/vars-250-10.cnf pau: SATISFIABLE 0.873065 110601 4409472 5.05057e+06
random3SAT/vars-250-1.cnf pau: UNSATISFIABLE 4.22305 561305 21209487 5.02231e+06
random3SAT/vars-250-2.cnf pau: UNSATISFIABLE 6.2985 825227 31430734 4.9902e+06
random3SAT/vars-250-3.cnf pau: SATISFIABLE 1.74815 232034 8906213 5.09465e+06
random3SAT/vars-250-4.cnf pau: SATISFIABLE 2.48495 321246 12568747 5.05795e+06
random3SAT/vars-250-5.cnf pau: UNSATISFIABLE 6.45541 840065 32725104 5.06941e+06
random3SAT/vars-250-6.cnf pau: UNSATISFIABLE 8.90972 1157469 44533242 4.99828e+06
random3SAT/vars-250-7.cnf pau: SATISFIABLE 0.8827 115488 4510249 5.10961e+06
random3SAT/vars-250-8.cnf pau: UNSATISFIABLE 9.98483 1322041 50177312 5.02535e+06
random3SAT/vars-250-9.cnf pau: SATISFIABLE 1.27348 170522 6459118 5.07202e+06
random3SAT/vars-300-10.cnf pau: SATISFIABLE 19.2518 2168878 98112993 5.0963e+06
random3SAT/vars-300-1.cnf pau: SATISFIABLE 3.5017 402983 17707628 5.05686e+06
random3SAT/vars-300-2.cnf pau: UNSATISFIABLE 85.0311 9538411 419989352 4.93924e+06
random3SAT/vars-300-3.cnf pau: UNSATISFIABLE 34.0374 3918433 169753916 4.98727e+06
random3SAT/vars-300-4.cnf pau: UNSATISFIABLE 63.5201 7234855 317367464 4.99633e+06
random3SAT/vars-300-5.cnf pau: SATISFIABLE 50.4064 5712208 251815300 4.9957e+06
random3SAT/vars-300-6.cnf pau: UNSATISFIABLE 46.2208 5286497 230805537 4.99355e+06
random3SAT/vars-300-7.cnf pau: SATISFIABLE 14.6757 1647941 74551957 5.07997e+06
random3SAT/vars-300-8.cnf pau: UNSATISFIABLE 63.4324 7071526 310872971 4.90085e+06
random3SAT/vars-300-9.cnf pau: SATISFIABLE 14.6169 1637659 71624140 4.90008e+06
